"protein","freq"
"HRK","1"
"NOL3","1"
"PIDD","1"
"CASP12","4"
"PMAIP1","5"
"BNIP3L","7"
"PYCARD","7"
"BCL2L10","8"
"BID","8"
"ENDOG","8"
"BBC3","9"
"AK2","14"
"BAD","14"
"ANP32A","15"
"CYCS","15"
"XAF1","16"
"BAK1","17"
"BCL2L2","17"
"BOK","17"
"FADD","17"
"BIK","18"
"BCL2L12","20"
"BNIP3","20"
"GAPDH","20"
"TNFRSF10D","20"
"BCL2L14","21"
"CRADD","21"
"TRADD","21"
"BCL2A1","22"
"CASP1","22"
"HTRA2","22"
"BECN1","23"
"DIABLO","24"
"BCL2L13","27"
"BMF","27"
"AVEN","30"
"SH3GLB1","30"
"TNFRSF10C","30"
"CASP6","32"
"MOAP1","32"
"CASP3","35"
"CASP7","35"
"MCL1","36"
"MALT1","37"
"BCL2L1","38"
"TNFRSF10A","38"
"BCL2L11","40"
"CFLAR","41"
"CASP14","42"
"TRAF1","42"
"TNFRSF1B","52"
"TNFRSF10B","53"
"TNFRSF1A","53"
"TNFSF10","53"
"CASP9","54"
"TNF","56"
"FASLG","62"
"RIPK3","64"
"FAS","68"
"CASP10","69"
"BAX","74"
"CASP2","74"
"BIRC3","75"
"CASP4","75"
"RIPK1","76"
"XIAP","76"
"OPA1","77"
"BIRC2","78"
"CSE1L","81"
"MAPK8","86"
"AIFM1","91"
"CASP5","101"
"TRAF2","111"
"APAF1","144"
"CASP8","145"
"CYLD","180"
"NLRP1","196"
"BCL2","256"
"NLRP3","379"
"MYD88","802"
"TP53","19696"
"HRK","1"
"NOL3","1"
"PIDD","1"
"CASP12","4"
"PMAIP1","5"
"BNIP3L","7"
"PYCARD","7"
"BCL2L10","8"
"BID","8"
"ENDOG","8"
"BBC3","9"
"AK2","14"
"BAD","14"
"ANP32A","15"
"CYCS","15"
"XAF1","16"
"BAK1","17"
"BCL2L2","17"
"BOK","17"
"FADD","17"
"BIK","18"
"BCL2L12","20"
"BNIP3","20"
"GAPDH","20"
"TNFRSF10D","20"
"BCL2L14","21"
"CRADD","21"
"TRADD","21"
"BCL2A1","22"
"CASP1","22"
"HTRA2","22"
"BECN1","23"
"DIABLO","24"
"BCL2L13","27"
"BMF","27"
"AVEN","30"
"SH3GLB1","30"
"TNFRSF10C","30"
"CASP6","32"
"MOAP1","32"
"CASP3","35"
"CASP7","35"
"MCL1","36"
"MALT1","37"
"BCL2L1","38"
"TNFRSF10A","38"
"BCL2L11","40"
"CFLAR","41"
"CASP14","42"
"TRAF1","42"
"TNFRSF1B","52"
"TNFRSF10B","53"
"TNFRSF1A","53"
"TNFSF10","53"
"CASP9","54"
"TNF","56"
"FASLG","62"
"RIPK3","64"
"FAS","68"
"CASP10","69"
"BAX","74"
"CASP2","74"
"BIRC3","75"
"CASP4","75"
"RIPK1","76"
"XIAP","76"
"OPA1","77"
"BIRC2","78"
"CSE1L","81"
"MAPK8","86"
"AIFM1","91"
"CASP5","101"
"TRAF2","111"
"APAF1","144"
"CASP8","145"
"CYLD","180"
"NLRP1","196"
"BCL2","256"
"NLRP3","379"
"MYD88","802"
"TP53","19696"
